caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida,dup_tipo
biblioteca_hashtags_karina_pt1_autoridade.json,biblioteca_hashtags_karina_pt1_autoridade.json,.json,25114,24.53 KB,2025-12-23 21:30,2025-12-28 11:09,biblioteca_hashtags_karina_pt1_autoridade.json,biblioteca_hashtags_karina_pt1_autoridade.json,biblioteca_hashtags_karina_pt1_autoridade.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,.json,40777,39.82 KB,2025-12-23 21:30,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt2_temas2e3.json,2_arquivos_soltos\jsons\biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,.json,40777,39.82 KB,2025-12-23 21:30,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt2_temas2e3.json,2_arquivos_soltos\jsons\biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,.json,40777,39.82 KB,2025-12-23 21:30,2025-12-28 11:09,biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,.json,40777,39.82 KB,2025-12-23 21:30,2025-12-28 11:09,biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,biblioteca_hashtags_karina_pt2_temas2e3.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,.json,35770,34.93 KB,2025-12-23 21:31,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt3_temas4e5.json,2_arquivos_soltos\jsons\biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,.json,35770,34.93 KB,2025-12-23 21:31,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt3_temas4e5.json,2_arquivos_soltos\jsons\biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,.json,35770,34.93 KB,2025-12-23 21:31,2025-12-28 11:09,biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,.json,35770,34.93 KB,2025-12-23 21:31,2025-12-28 11:09,biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,biblioteca_hashtags_karina_pt3_temas4e5.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,.json,18005,17.58 KB,2025-12-23 21:31,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt4_tema6_completo.json,2_arquivos_soltos\jsons\biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,.json,18005,17.58 KB,2025-12-23 21:31,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt4_tema6_completo.json,2_arquivos_soltos\jsons\biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,.json,18005,17.58 KB,2025-12-23 21:31,2025-12-28 11:09,biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,.json,18005,17.58 KB,2025-12-23 21:31,2025-12-28 11:09,biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,biblioteca_hashtags_karina_pt4_tema6_completo.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,.md,6380,6.23 KB,2025-12-22 15:27,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\calendario-dra-karina-v1.md,2_arquivos_soltos\markdowns\calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,.md,6380,6.23 KB,2025-12-22 15:27,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\calendario-dra-karina-v1.md,2_arquivos_soltos\markdowns\calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,.md,6380,6.23 KB,2025-12-22 15:27,2025-12-22 15:27,calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,.md,6380,6.23 KB,2025-12-22 15:27,2025-12-22 15:27,calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,calendario-dra-karina-v1.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx,informações grok instagram (1).docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx,2_arquivos_soltos\docxs\informações grok instagram (1).docx,informações grok instagram (1).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx,informações grok instagram (1).docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx,2_arquivos_soltos\docxs\informações grok instagram (1).docx,informações grok instagram (1).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT
informações grok instagram (1).docx,informações grok instagram (1).docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-22 13:54,informações grok instagram (1).docx,informações grok instagram (1).docx,informações grok instagram (1).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT_TAMANHO
informações grok instagram (1).docx,informações grok instagram (1).docx,.docx,42895,41.89 KB,2025-12-22 13:54,2025-12-22 13:54,informações grok instagram (1).docx,informações grok instagram (1).docx,informações grok instagram (1).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,.md,21535,21.03 KB,2025-12-27 19:37,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025 (1).md,2_arquivos_soltos\markdowns\instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,.md,21535,21.03 KB,2025-12-27 19:37,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025 (1).md,2_arquivos_soltos\markdowns\instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,.md,21535,21.03 KB,2025-12-27 19:37,2025-12-27 19:37,instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,.md,21535,21.03 KB,2025-12-27 19:37,2025-12-27 19:37,instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,instagram-growth-map-2025 (1).md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025.md,instagram-growth-map-2025.md,.md,21535,21.03 KB,2025-12-27 19:05,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025.md,2_arquivos_soltos\markdowns\instagram-growth-map-2025.md,instagram-growth-map-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025.md,instagram-growth-map-2025.md,.md,21535,21.03 KB,2025-12-27 19:05,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025.md,2_arquivos_soltos\markdowns\instagram-growth-map-2025.md,instagram-growth-map-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
instagram-growth-map-2025.md,instagram-growth-map-2025.md,.md,21535,21.03 KB,2025-12-27 19:05,2025-12-27 19:05,instagram-growth-map-2025.md,instagram-growth-map-2025.md,instagram-growth-map-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
instagram-growth-map-2025.md,instagram-growth-map-2025.md,.md,21535,21.03 KB,2025-12-27 19:05,2025-12-27 19:05,instagram-growth-map-2025.md,instagram-growth-map-2025.md,instagram-growth-map-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\instagram_branding_completo.md,instagram_branding_completo.md,.md,32420,31.66 KB,2025-12-22 11:34,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\instagram_branding_completo.md,2_arquivos_soltos\markdowns\instagram_branding_completo.md,instagram_branding_completo.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\instagram_branding_completo.md,instagram_branding_completo.md,.md,32420,31.66 KB,2025-12-22 11:34,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\instagram_branding_completo.md,2_arquivos_soltos\markdowns\instagram_branding_completo.md,instagram_branding_completo.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
instagram_branding_completo.md,instagram_branding_completo.md,.md,32420,31.66 KB,2025-12-22 11:34,2025-12-22 11:34,instagram_branding_completo.md,instagram_branding_completo.md,instagram_branding_completo.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
instagram_branding_completo.md,instagram_branding_completo.md,.md,32420,31.66 KB,2025-12-22 11:34,2025-12-22 11:34,instagram_branding_completo.md,instagram_branding_completo.md,instagram_branding_completo.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,.md,2792,2.73 KB,2025-12-27 19:42,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\protocolo-12-2-instagram-facebook-ads.md,2_arquivos_soltos\markdowns\protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,.md,2792,2.73 KB,2025-12-27 19:42,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\protocolo-12-2-instagram-facebook-ads.md,2_arquivos_soltos\markdowns\protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,.md,2792,2.73 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,.md,2792,2.73 KB,2025-12-27 19:42,2025-12-27 19:42,protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,protocolo-12-2-instagram-facebook-ads.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\protocolo_instagram_50k.md,protocolo_instagram_50k.md,.md,49526,48.37 KB,2025-12-23 20:18,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\protocolo_instagram_50k.md,2_arquivos_soltos\markdowns\protocolo_instagram_50k.md,protocolo_instagram_50k.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\protocolo_instagram_50k.md,protocolo_instagram_50k.md,.md,49526,48.37 KB,2025-12-23 20:18,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\protocolo_instagram_50k.md,2_arquivos_soltos\markdowns\protocolo_instagram_50k.md,protocolo_instagram_50k.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
protocolo_instagram_50k.md,protocolo_instagram_50k.md,.md,49526,48.37 KB,2025-12-23 20:18,2025-12-28 11:30,protocolo_instagram_50k.md,protocolo_instagram_50k.md,protocolo_instagram_50k.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
protocolo_instagram_50k.md,protocolo_instagram_50k.md,.md,49526,48.37 KB,2025-12-23 20:18,2025-12-28 11:30,protocolo_instagram_50k.md,protocolo_instagram_50k.md,protocolo_instagram_50k.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
